serial,Heading,Subheading,difficulty,problem,link,notes
187,Stack and Queues,Implementation Problems,Hard,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,
188,Stack and Queues,Implementation Problems,Hard,Stock span problem,https://leetcode.com/problems/online-stock-span/,
189,Stack and Queues,Implementation Problems,Hard,Celebrity Problem,https://leetcode.com/accounts/login/?next=/problems/find-the-celebrity/,
190,Stack and Queues,Implementation Problems,Medium,LRU Cache,https://leetcode.com/problems/lru-cache/,LC 146 — exact match
191,Stack and Queues,Implementation Problems,Hard,LFU Cache,https://leetcode.com/problems/lfu-cache/,
192,Sliding Window & Two Pointer Combined Problems,Medium Problems,Medium,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,
193,Sliding Window & Two Pointer Combined Problems,Medium Problems,Medium,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,
194,Sliding Window & Two Pointer Combined Problems,Medium Problems,Medium,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/description/,
195,Sliding Window & Two Pointer Combined Problems,Medium Problems,Hard,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,
196,Sliding Window & Two Pointer Combined Problems,Medium Problems,Hard,Binary Subarrays With Sum,https://leetcode.com/problems/binary-subarrays-with-sum/,
197,Sliding Window & Two Pointer Combined Problems,Medium Problems,Hard,Count number of Nice subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays/,
198,Sliding Window & Two Pointer Combined Problems,Medium Problems,Hard,Number of Substrings Containing All Three Characters,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,
199,Sliding Window & Two Pointer Combined Problems,Medium Problems,Medium,Maximum Points You Can Obtain from Cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,
200,Sliding Window & Two Pointer Combined Problems,Hard Problems,Hard,Longest Substring With At Most K Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,
201,Sliding Window & Two Pointer Combined Problems,Hard Problems,Medium,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers/,
202,Sliding Window & Two Pointer Combined Problems,Hard Problems,Hard,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,
203,Sliding Window & Two Pointer Combined Problems,Hard Problems,Hard,Minimum Window Subsequence,https://leetcode.com/problems/minimum-window-subsequence/,
204,Heaps,Learning,Easy,Heaps (Theory Video),https://takeuforward.org/data-structure/introduction-to-priority-queues-using-binary-heaps,Concept/theory video — no coding problem
205,Heaps,Learning,Medium,Implement Min Heap,,Implement a Min Heap' (search GFG)
206,Heaps,Learning,Medium,Check if an array represents a min heap,https://takeuforward.org/data-structure/check-if-an-array-represents-a-min-heap,Check whether the given Array is a Min-Heap' (search GFG)
207,Heaps,Learning,Medium,Convert Min Heap to Max Heap,,Convert Min Heap to Max Heap' (search GFG)
208,Heaps,Medium Problems,Medium,K-th Largest element in an array,https://leetcode.com/problems/kth-largest-element-in-an-array/,LC 215 — exact match
209,Heaps,Medium Problems,Medium,Kth smallest element in an array [use priority queue],https://leetcode.com/problems/kth-largest-element-in-an-array/,"Same problem/technique as LC 215 (Kth Largest, already in your sheet) — just target k = n-k+1"
210,Heaps,Medium Problems,Easy,Sort K sorted array,https://takeuforward.org/data-structure/sort-k-sorted-array,Nearly sorted array' / 'Sort a k sorted array' (search GFG)
211,Heaps,Medium Problems,Hard,Merge K sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,
212,Heaps,Medium Problems,Easy,Replace Elements by Their Rank,https://takeuforward.org/data-structure/replace-elements-by-its-rank-in-the-array/,Replace elements with rank' (search GFG)
213,Heaps,Medium Problems,Medium,Task Scheduler,https://leetcode.com/problems/task-scheduler/,
214,Heaps,Medium Problems,Medium,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,
215,Heaps,Hard Problems,Medium,Design Twitter,https://leetcode.com/problems/design-twitter/,
216,Heaps,Hard Problems,Medium,Minimum Cost to Connect Sticks,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,LC 1167 — exact match (premium)
217,Heaps,Hard Problems,Hard,Kth largest element in a stream of running integers,"https://leetcode.com/problems/kth-largest-element-in-a-stream/#:~:text=Implement%20KthLargest%20class%3A,largest%20element%20in%20the%20stream.",
218,Heaps,Hard Problems,Hard,Maximum Sum Combination,https://takeuforward.org/data-structure/maximum-sum-combination,Maximum Sum Combination' (search GFG)
219,Heaps,Hard Problems,Hard,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,
220,Heaps,Hard Problems,Medium,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,
221,Greedy Algorithms,Easy Problems,Easy,Assign Cookies,https://leetcode.com/problems/assign-cookies/,
222,Greedy Algorithms,Easy Problems,Medium,Fractional Knapsack,https://takeuforward.org/data-structure/fractional-knapsack-problem-greedy-approach/,Fractional Knapsack' (search GFG)
223,Greedy Algorithms,Easy Problems,Easy,Lemonade Change,https://leetcode.com/problems/lemonade-change/,
224,Greedy Algorithms,Easy Problems,Hard,Valid Paranthesis Checker,https://leetcode.com/problems/valid-parenthesis-string/,
225,Greedy Algorithms,Medium/Hard,Medium,N meetings in one room,https://leetcode.com/problems/non-overlapping-intervals/,Same activity-selection technique as LC 435 (already in your sheet); GFG has the exact 'N meetings in one room' problem too
226,Greedy Algorithms,Medium/Hard,Easy,Jump Game - I,https://leetcode.com/problems/jump-game/,
227,Greedy Algorithms,Medium/Hard,Medium,Jump Game II,https://leetcode.com/problems/jump-game-ii/,
228,Greedy Algorithms,Medium/Hard,Medium,Minimum number of platforms required for a railway,https://leetcode.com/problems/meeting-rooms-ii/,"LC 253 (Meeting Rooms II, premium) — identical algorithm to 'minimum platforms'"
229,Greedy Algorithms,Medium/Hard,Medium,Job sequencing Problem,https://takeuforward.org/data-structure/job-sequencing-problem/,"Job Sequencing Problem' (search GFG) — related family to LC 630 Course Schedule III (deadline scheduling with a heap), not identical so not forced"
230,Greedy Algorithms,Medium/Hard,Hard,Candy,https://leetcode.com/problems/candy/,
231,Greedy Algorithms,Medium/Hard,Medium,Shortest Job First,https://takeuforward.org/Greedy/shortest-job-first-or-sjf-cpu-scheduling,OS scheduling algorithm — GFG has 'Shortest Job First (or SJF) CPU Scheduling' (search GFG); no LC equivalent
232,Greedy Algorithms,Medium/Hard,Medium,Program for Least Recently Used (LRU) Page Replacement Algorithm,https://takeuforward.org/data-structure/program-for-least-recently-used-lru-page-replacement-algorithm,OS paging algorithm — GFG has 'LRU Page Replacement algorithm' (search GFG); different from LC 146 LRU Cache (that's a data-structure design problem)
233,Greedy Algorithms,Medium/Hard,Medium,Insert Interval,https://leetcode.com/problems/insert-interval/,
234,Greedy Algorithms,Medium/Hard,Medium,Merge Intervals,https://leetcode.com/problems/merge-intervals/,
235,Greedy Algorithms,Medium/Hard,Medium,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,
236,Binary Trees,Traversals,Easy,Introduction to Trees,https://takeuforward.org/binary-tree/introduction-to-trees/,Concept/theory video — no coding problem
237,Binary Trees,Traversals,Easy,Binary Tree Representation in Java,https://takeuforward.org/binary-tree/binary-tree-representation-in-java/,Implementation/setup — no coding problem
238,Binary Trees,Traversals,Easy,"Pre, Post, Inorder in one traversal",https://takeuforward.org/data-structure/preorder-inorder-postorder-traversals-in-one-traversal/,"Preorder, Inorder and Postorder traversal of Binary Tree in one traversal' (search GFG)"
239,Binary Trees,Traversals,Easy,Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,
240,Binary Trees,Traversals,Easy,Inorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/,
241,Binary Trees,Traversals,Easy,Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,
242,Binary Trees,Traversals,Easy,Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,
243,Binary Trees,Traversals,Easy,Iterative Preorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-preorder-traversal/,
244,Binary Trees,Traversals,Easy,Iterative Inorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/,
245,Binary Trees,Traversals,Easy,Post-order Traversal of Binary Tree using 2 stack,https://leetcode.com/problems/binary-tree-postorder-traversal/,
246,Binary Trees,Traversals,Easy,Post-order Traversal of Binary Tree using 1 stack,https://leetcode.com/problems/binary-tree-postorder-traversal/,
247,Binary Trees,Traversals,Easy,"Preorder, Inorder, and Postorder Traversal in one Traversal",https://takeuforward.org/data-structure/preorder-inorder-postorder-traversals-in-one-traversal/,"Same as above — GFG exact match, no LC equivalent"
248,Binary Trees,Medium Problems,Medium,Maximum Depth in BT,https://leetcode.com/problems/maximum-depth-of-binary-tree/,
249,Binary Trees,Medium Problems,Medium,Check for balanced binary tree,https://leetcode.com/problems/balanced-binary-tree/,
250,Binary Trees,Medium Problems,Easy,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,
251,Binary Trees,Medium Problems,Medium,Maximum path sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,
252,Binary Trees,Medium Problems,Medium,Check if two trees are identical or not,https://leetcode.com/problems/same-tree/,
253,Binary Trees,Medium Problems,Medium,Zig Zag or Spiral Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,
254,Binary Trees,Medium Problems,Medium,Boundary Traversal,https://leetcode.com/problems/boundary-of-binary-tree/,
255,Binary Trees,Medium Problems,Medium,Vertical Order Traversal,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,
256,Binary Trees,Medium Problems,Medium,Top View of BT,https://takeuforward.org/data-structure/top-view-of-a-binary-tree/,Top View of Binary Tree' (search GFG)
257,Binary Trees,Medium Problems,Medium,Bottom view of BT,https://takeuforward.org/data-structure/bottom-view-of-a-binary-tree/,Bottom View of Binary Tree' (search GFG)
258,Binary Trees,Medium Problems,Medium,Right/Left View of Binary Tree,https://leetcode.com/problems/binary-tree-right-side-view/,
259,Binary Trees,Medium Problems,Medium,Symmetric Binary Tree,https://leetcode.com/problems/symmetric-tree/,
260,Binary Trees,Hard Problems,Medium,Print root to leaf path in BT,https://leetcode.com/problems/binary-tree-paths/,LC 257 (Binary Tree Paths) — exact match
261,Binary Trees,Hard Problems,Hard,LCA in BT,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,
262,Binary Trees,Hard Problems,Medium,Maximum Width of BT,https://leetcode.com/problems/maximum-width-of-binary-tree/,
263,Binary Trees,Hard Problems,Medium,Children Sum Property in Binary Tree,https://takeuforward.org/data-structure/check-for-children-sum-property-in-a-binary-tree/,Children Sum Parent Property in a Binary Tree' (search GFG)
264,Binary Trees,Hard Problems,Hard,Print all nodes at a distance of K in BT,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,
265,Binary Trees,Hard Problems,Hard,Minimum time taken to burn the BT from a given Node,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/,"LC 2385 — exact match, same 'burning tree' problem"
266,Binary Trees,Hard Problems,Easy,Count total nodes in a complete BT,https://leetcode.com/problems/count-complete-tree-nodes/,
267,Binary Trees,Hard Problems,Medium,Requirements needed to construct a unique BT,,Concept/theory video — no coding problem
268,Binary Trees,Hard Problems,Hard,Construct a BT from Preorder and Inorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,
269,Binary Trees,Hard Problems,Hard,Construct the Binary Tree from Postorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,
270,Binary Trees,Hard Problems,Hard,Serialize and De-serialize BT,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,
271,Binary Trees,Hard Problems,Hard,Morris Preorder Traversal of a Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/,
272,Binary Trees,Hard Problems,Hard,Morris Inorder Traversal of a Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/,
273,Binary Trees,Hard Problems,Medium,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,
274,Binary Search Trees,Concepts,Easy,Introduction to BST,https://takeuforward.org/binary-search-tree/introduction-to-binary-search-trees/,Concept/theory video — no coding problem
275,Binary Search Trees,Concepts,Easy,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,
276,Binary Search Trees,Concepts,Easy,Find Min/Max in BST,https://takeuforward.org/data-structure/find-minmax-in-a-bst,Trivial (leftmost/rightmost node) — no dedicated LC/GFG problem
277,Binary Search Trees,Practice Problems,Easy,Floor and Ceil in a BST,,Floor and Ceil from a BST' (search GFG)
278,Binary Search Trees,Practice Problems,Easy,Floor in a Binary Search Tree,https://takeuforward.org/binary-search-tree/floor-in-a-binary-search-tree/,Floor in a Binary Search Tree' (search GFG)
279,Binary Search Trees,Practice Problems,Medium,Insert a given node in BST,https://leetcode.com/problems/insert-into-a-binary-search-tree/,
280,Binary Search Trees,Practice Problems,Medium,Delete a node in BST,https://leetcode.com/problems/delete-node-in-a-bst/,
281,Binary Search Trees,Practice Problems,Medium,Kth Smallest and Largest element in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,
282,Binary Search Trees,Practice Problems,Medium,Check if a tree is a BST or not,https://leetcode.com/problems/validate-binary-search-tree/,
283,Binary Search Trees,Practice Problems,Medium,LCA in BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,
284,Binary Search Trees,Practice Problems,Medium,Construct a BST from a preorder traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,
285,Binary Search Trees,Practice Problems,Medium,Inorder Successor/Predecessor in BST,https://leetcode.com/problems/inorder-successor-in-bst/,
286,Binary Search Trees,Practice Problems,Hard,Merge 2 BST's,https://leetcode.com/problems/binary-search-tree-iterator/,
287,Binary Search Trees,Practice Problems,Hard,Two Sum In BST | Check if there exists a pair with Sum K,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,
288,Binary Search Trees,Practice Problems,Hard,Correct BST with two nodes swapped,https://leetcode.com/problems/recover-binary-search-tree/,
289,Binary Search Trees,Practice Problems,Hard,Largest BST in Binary Tree,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/,
290,Graphs,Learning,Easy,Introduction to Graph,https://takeuforward.org/data-structure/graph-representation-in-java,Concept/theory video — no coding problem
291,Graphs,Learning,Easy,Graph Representation | C++,https://takeuforward.org/graph/graph-representation-in-c/,Implementation/setup — no coding problem
292,Graphs,Learning,Easy,Graph Representation | Java,https://takeuforward.org/data-structure/graph-representation-in-java,Implementation/setup — no coding problem
293,Graphs,Learning,Medium,Connected Components,https://leetcode.com/problems/number-of-provinces/,Concept underlying LC 547 Number of Provinces (already in your sheet)
294,Graphs,Learning,Medium,Traversal Techniques,https://takeuforward.org/data-structure/depth-first-search-dfs/,Concept/theory video (BFS/DFS overview) — no coding problem
295,Graphs,Learning,Medium,DFS,https://takeuforward.org/data-structure/depth-first-search-dfs/,Concept/theory video (DFS implementation) — no coding problem
296,Graphs,Problems on BFS/DFS,Medium,Number of provinces,"https://leetcode.com/problems/number-of-provinces/#:~:text=A%20province%20is%20a%20group,the%20total%20number%20of%20provinces.",
297,Graphs,Problems on BFS/DFS,Medium,Connected Components Problem in Matrix,https://leetcode.com/problems/number-of-islands/,Same technique as LC 200 Number of Islands (already in your sheet)
298,Graphs,Problems on BFS/DFS,Medium,Rotten Oranges,https://leetcode.com/problems/rotting-oranges/,
299,Graphs,Problems on BFS/DFS,Medium,Flood fill algorithm,https://leetcode.com/problems/flood-fill/,
300,Graphs,Problems on BFS/DFS,Hard,Cycle Detection in Undirected Graph (bfs),https://takeuforward.org/data-structure/detect-cycle-in-an-undirected-graph-using-bfs/,Detect Cycle in an Undirected Graph using BFS' (search GFG); LC 261 Graph Valid Tree (premium) is a related connectivity+cycle problem but not an identical task
301,Graphs,Problems on BFS/DFS,Hard,Detect a cycle in an undirected graph,https://leetcode.com/problems/course-schedule/,
302,Graphs,Problems on BFS/DFS,Medium,Distance of nearest cell having one,https://leetcode.com/problems/01-matrix/,
303,Graphs,Problems on BFS/DFS,Medium,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,
304,Graphs,Problems on BFS/DFS,Medium,Number of enclaves,https://leetcode.com/problems/number-of-enclaves/,
305,Graphs,Problems on BFS/DFS,Hard,Word ladder I,https://leetcode.com/problems/word-ladder/,
306,Graphs,Problems on BFS/DFS,Hard,Word ladder II,https://leetcode.com/problems/word-ladder-ii/,
307,Graphs,Problems on BFS/DFS,Medium,Number of islands,https://leetcode.com/problems/number-of-islands/,
308,Graphs,Problems on BFS/DFS,Hard,Bipartite Graph (DFS),https://leetcode.com/problems/is-graph-bipartite/,
309,Graphs,Problems on BFS/DFS,Hard,Cycle Detection in Directed Graph (DFS),https://leetcode.com/problems/course-schedule-ii/discuss/293048/detecting-cycle-in-directed-graph-problem,
310,Graphs,Topo Sort and Problems,Hard,Topo Sort,https://takeuforward.org/data-structure/topological-sort-algorithm-dfs-g-21/,Concept/theory video — no coding problem
311,Graphs,Topo Sort and Problems,Hard,Topological sort or Kahn's algorithm,https://leetcode.com/problems/course-schedule-ii/,Same technique (Kahn's BFS topo sort) as LC 210 Course Schedule II (already in your sheet)
312,Graphs,Topo Sort and Problems,Hard,Detect a cycle in a directed graph,https://leetcode.com/problems/course-schedule/,
313,Graphs,Topo Sort and Problems,Hard,Course Schedule I,https://leetcode.com/problems/course-schedule/,
314,Graphs,Topo Sort and Problems,Medium,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,
315,Graphs,Topo Sort and Problems,Hard,Find eventual safe states,https://leetcode.com/problems/find-eventual-safe-states/,
316,Graphs,Topo Sort and Problems,Hard,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/solution/,
317,Graphs,Shortest Path Algorithms and Problems,Hard,Shortest path in undirected graph with unit weights,https://takeuforward.org/data-structure/shortest-path-in-undirected-graph-with-unit-distance-g-28/,Shortest path in an unweighted graph' (search GFG) — same BFS idea as LC 1091/542 (already in your sheet)
318,Graphs,Shortest Path Algorithms and Problems,Hard,Shortest path in DAG,https://takeuforward.org/data-structure/shortest-path-in-directed-acyclic-graph-topological-sort-g-27/,Shortest path in Directed Acyclic Graph' (search GFG)
319,Graphs,Shortest Path Algorithms and Problems,Hard,Djisktra's Algorithm,https://leetcode.com/problems/network-delay-time/,Same algorithm applied directly in LC 743 Network Delay Time (already in your sheet)
320,Graphs,Shortest Path Algorithms and Problems,Hard,Why priority Queue is used in Djisktra's Algorithm,https://takeuforward.org/data-structure/dijkstras-algorithm-using-priority-queue-g-32/,Concept/theory video — no coding problem
321,Graphs,Shortest Path Algorithms and Problems,Hard,Shortest Distance in a Binary Maze,https://leetcode.com/problems/shortest-path-in-binary-matrix/,
322,Graphs,Shortest Path Algorithms and Problems,Hard,Path with minimum effort,https://leetcode.com/problems/path-with-minimum-effort/,
323,Graphs,Shortest Path Algorithms and Problems,Hard,Cheapest flight within K stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,
324,Graphs,Shortest Path Algorithms and Problems,Medium,Network Delay Time,https://leetcode.com/problems/network-delay-time/,
325,Graphs,Shortest Path Algorithms and Problems,Hard,Number of ways to arrive at destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/,
326,Graphs,Shortest Path Algorithms and Problems,Hard,Minimum multiplications to reach end,https://takeuforward.org/graph/g-39-minimum-multiplications-to-reach-end/,Minimum multiplications to reach end' (search GFG) — BFS-shortest-path-on-implicit-graph problem
327,Graphs,Shortest Path Algorithms and Problems,Hard,Bellman Ford Algorithm,https://takeuforward.org/data-structure/bellman-ford-algorithm-g-41/,Bellman-Ford Algorithm' (search GFG) — same relaxation idea as LC 787 Cheapest Flights Within K Stops (already in your sheet)
328,Graphs,Shortest Path Algorithms and Problems,Hard,Floyd warshall algorithm,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/,Same algorithm applied directly in LC 1334 (already in your sheet)
329,Graphs,Shortest Path Algorithms and Problems,Hard,Find the city with the smallest number of neighbors,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/,
330,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Easy,MST theory,https://takeuforward.org/data-structure/minimum-spanning-tree-theory-g-44/,Concept/theory video — no coding problem
331,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Prim's Algorithm,https://takeuforward.org/data-structure/prims-algorithm-minimum-spanning-tree-c-and-java-g-45/,Prim's Algorithm for Minimum Spanning Tree' (search GFG)
332,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Disjoint Set,https://takeuforward.org/data-structure/disjoint-set-union-by-rank-union-by-size-path-compression-g-46/,"Disjoint Set (Union-Find)' (search GFG) — used throughout already-mapped graph problems in your sheet (Accounts Merge, Number of Islands II, etc.)"
333,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Find the MST weight,https://takeuforward.org/data-structure/prims-algorithm-minimum-spanning-tree-c-and-java-g-45/,Minimum Spanning Tree' (search GFG)
334,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Number of operations to make network connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,
335,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Medium,Most stones removed with same row or column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,
336,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Accounts merge,https://leetcode.com/problems/accounts-merge/,
337,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Number of islands II,https://leetcode.com/problems/number-of-islands-ii/,
338,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Hard,Making a large island,https://leetcode.com/problems/making-a-large-island/,
339,Graphs,MinimumSpanningTree/Disjoint Set and Problems,Medium,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,
340,Graphs,Other Algorithms,Hard,Bridges in graph,https://leetcode.com/problems/critical-connections-in-a-network/discuss/382385/find-bridges-in-a-graph,
341,Graphs,Other Algorithms,Hard,Articulation point in graph,https://takeuforward.org/data-structure/articulation-point-in-graph-g-56/,"Articulation Points (or Cut Vertices) in a Graph' (search GFG) — no direct LC equivalent (LC 1192 Critical Connections, already in your sheet, is the related 'bridges' problem, not articulation points)"
342,Graphs,Other Algorithms,Hard,Kosaraju's algorithm,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/discuss/766485/kosaraju-algorithm-on,
343,Dynamic Programming,Introduction to DP,Easy,Introduction to DP,https://takeuforward.org/data-structure/dynamic-programming-introduction/,Concept/theory video — no coding problem
344,Dynamic Programming,1D DP,Medium,Climbing stairs,https://leetcode.com/problems/climbing-stairs/,
345,Dynamic Programming,1D DP,Medium,Frog Jump,https://leetcode.com/problems/min-cost-climbing-stairs/,"Closest LC analog: LC 746 Min Cost Climbing Stairs (same 'min cost, jump 1 or 2 steps' DP shape). GFG has the exact problem as 'Geek Jump'"
346,Dynamic Programming,1D DP,Medium,Frog jump with K distances,https://takeuforward.org/data-structure/dynamic-programming-frog-jump-with-k-distances-dp-4/,Frog Jump with K distances' (search GFG) — generalization of Frog Jump
347,Dynamic Programming,1D DP,Medium,Maximum sum of non adjacent elements,https://leetcode.com/problems/house-robber/,
348,Dynamic Programming,1D DP,Medium,House robber,https://leetcode.com/problems/house-robber-ii/,
349,Dynamic Programming,2D/3D DP and DP on Grids,Medium,Ninja's training,https://takeuforward.org/data-structure/dynamic-programming-ninjas-training-dp-7/,Geek's Training' (search GFG) — no direct LC equivalent
350,Dynamic Programming,2D/3D DP and DP on Grids,Medium,Grid Unique Paths : DP on Grids (DP8),https://leetcode.com/problems/unique-paths/,
351,Dynamic Programming,2D/3D DP and DP on Grids,Medium,Unique paths II,https://leetcode.com/problems/unique-paths-ii/,
352,Dynamic Programming,2D/3D DP and DP on Grids,Medium,Minimum Falling Path Sum,https://leetcode.com/problems/minimum-path-sum/,
353,Dynamic Programming,2D/3D DP and DP on Grids,Medium,Triangle,https://leetcode.com/problems/triangle/,
354,Dynamic Programming,2D/3D DP and DP on Grids,Medium,Ninja and his Friends,https://leetcode.com/problems/cherry-pickup-ii/,"LC 1463 (Cherry Pickup II) — exact match, identical two-robots-in-a-grid DP"
355,Dynamic Programming,DP on Subsequences,Hard,Subset sum equal to target (DP- 14),https://takeuforward.org/data-structure/subset-sum-equal-to-target-dp-14/,Subset Sum Problem' (search GFG) — same technique as LC 416 Partition Equal Subset Sum (already in your sheet)
356,Dynamic Programming,DP on Subsequences,Hard,Partition equal subset sum,https://leetcode.com/problems/partition-equal-subset-sum/,
357,Dynamic Programming,DP on Subsequences,Hard,Partition a set into two subsets with minimum absolute sum difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/,
358,Dynamic Programming,DP on Subsequences,Hard,Count subsets with sum K,https://takeuforward.org/data-structure/count-subsets-with-sum-k-dp-17/,Perfect Sum Problem' (search GFG) — same technique as LC 494 Target Sum (already in your sheet)
359,Dynamic Programming,DP on Subsequences,Hard,Count partitions with given difference,https://takeuforward.org/data-structure/count-partitions-with-given-difference-dp-18/,Partitions with Given Difference' (search GFG) — extension of Count Subsets with Sum K
360,Dynamic Programming,DP on Subsequences,Hard,Minimum Coins (DP - 20),https://leetcode.com/problems/coin-change/,
361,Dynamic Programming,DP on Subsequences,Hard,Target sum,https://leetcode.com/problems/target-sum/,
362,Dynamic Programming,DP on Subsequences,Hard,Coin Change 2 (DP - 22),https://leetcode.com/problems/coin-change-2/,
363,Dynamic Programming,DP on Subsequences,Hard,Unbounded knapsack,https://takeuforward.org/data-structure/unbounded-knapsack-dp-23/,Unbounded Knapsack (Repetition of Items Allowed)' (search GFG) — related to LC 322 Coin Change (already in your sheet)
364,Dynamic Programming,DP on Subsequences,Hard,Rod Cutting Problem | (DP - 24),https://www.geeksforgeeks.org/problems/rod-cutting0840/1,GFG — exact match (a direct application of Unbounded Knapsack)
365,Dynamic Programming,DP on Strings,Hard,Longest common subsequence,https://leetcode.com/problems/longest-common-subsequence/,LC 1143 — exact match
366,Dynamic Programming,DP on Strings,hard,Print Longest Common Subsequence | (DP - 26),https://takeuforward.org/data-structure/print-longest-common-subsequence-dp-26/,Print Longest Common Subsequence' (search GFG) — print version; LC 1143 (already covered above) only returns the length
367,Dynamic Programming,DP on Strings,Hard,Longest common substring,https://takeuforward.org/data-structure/longest-common-substring-dp-27/,Longest Common Substring' (search GFG) — no standalone LC problem
368,Dynamic Programming,DP on Strings,Hard,Longest palindromic subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,
369,Dynamic Programming,DP on Strings,Hard,Minimum insertions to make string palindrome | DP-29,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,
370,Dynamic Programming,DP on Strings,Hard,Minimum insertions or deletions to convert string A to B,https://leetcode.com/problems/delete-operation-for-two-strings/,
371,Dynamic Programming,DP on Strings,Hard,Shortest common supersequence,https://leetcode.com/problems/shortest-common-supersequence/,
372,Dynamic Programming,DP on Strings,Hard,Distinct subsequences,https://leetcode.com/problems/distinct-subsequences/,
373,Dynamic Programming,DP on Strings,Hard,Edit distance,https://leetcode.com/problems/edit-distance/,
374,Dynamic Programming,DP on Strings,Hard,Wildcard matching,https://leetcode.com/problems/wildcard-matching/,
375,Dynamic Programming,DP on Stocks,Medium,Best time to buy and sell stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
376,Dynamic Programming,DP on Stocks,Medium,Best time to buy and sell stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,
